food_code,food_name,calorie,carb,protein,fat
D108-386000000-0001,소불고기,170,4.26,16.41,9.66
D108-387140000-0001,스테이크_소등심,194,0.14,30.22,8.07
D108-387150000-0001,스테이크_소안심,183,0.13,34.82,4.83
D108-390000000-0001,오리고기구이,293,4.89,24.06,19.7
D108-392000000-0001,오리불고기,145,9.05,6.75,9.05
D108-396020000-0001,장어구이_고추장,259,6.18,19.82,17.21
D108-398210000-0001,조개구이_키조개,130,10.44,17.43,2.07
D108-399000000-0001,조기구이,177,0.44,19.33,10.86
D108-401060000-0001,참치구이_머리,193,1.4,26.56,8.98
D108-402000000-0001,치킨데리야끼,208,15.21,16.54,9.01
D108-404000000-0001,함박스테이크,174,7.19,12.1,10.73
D109-407000000-0001,가지전,123,8.88,5.48,7.28
D109-408000000-0001,감자전,133,16.79,1.72,6.54
D109-409000000-0001,고구마전,227,35.99,2.92,7.98
D109-412000000-0001,김치전,134,19.01,5.05,4.2
D109-416000000-0001,달걀말이,193,1.45,17.21,13.21
D109-417000000-0001,달걀부침(달걀후라이),208,5.15,15.73,13.78
D109-417120000-0001,달걀부침(달걀후라이)_햄,277,8.06,12.71,21.59
D109-419000000-0001,두부부침,140,2.07,10.92,9.77
D109-421000000-0001,맛살전,165,19.69,7.48,6.24
D109-422000000-0001,메밀전,161,34.79,4.02,0.64
D109-425100000-0001,버섯전_표고버섯,181,12.74,10.13,9.98
D109-426000000-0001,부추전,167,27.86,4.63,4.17
D109-427050000-0001,산적_돼지고기,200,1.55,29.06,8.56
D109-433000000-0001,스크램블드에그,216,2.56,11.81,17.59
D109-434000000-0001,애호박전,122,6.73,4.35,8.62
D109-437050000-0001,완자전_돼지고기,139,6.51,14.78,5.95
D109-437060000-0001,완자전_소고기,162,4.68,18.73,7.56
D109-437080000-0001,완자전_참치,173,13.57,15,6.49
D109-437110000-0001,완자전_해물,222,18.04,11.46,11.61
D109-439000000-0001,채소전,145,22.59,3.57,4.5
D109-441110000-0001,파전_해물,171,18.29,5.5,8.4
D110-450000000-0001,감자볶음,100,12.41,1.75,4.84
D110-450320000-0001,감자볶음_채소,108,13.1,2.04,5.22
D110-451000000-0001,건새우볶음,304,5.4,41.55,12.95
D110-455160000-0001,곱창볶음_돼지고기,130,18.52,7.23,3
D110-456000000-0001,김치볶음,106,7.27,1.38,7.94
D110-456310000-0001,김치볶음_참치,122,7.12,8.33,6.68
D110-457000000-0001,낙지볶음,91,8.6,5.77,3.77
D110-461000000-0001,닭발볶음,186,11.72,13.8,9.38
D110-462000000-0001,닭볶음(닭갈비),186,7.93,13.98,10.96
D110-462155200-0001,닭볶음(닭갈비)_닭가슴살_피망,122,1.38,16.39,5.65
D110-463000000-0001,당근볶음,95,7.79,0.93,6.63
D110-464110000-0001,돼지고기볶음_김치,161,5.93,11.81,10.05
D110-464320000-0001,돼지고기볶음_채소,169,8.63,16.57,7.59
D110-465000000-0001,돼지고기볶음(제육볶음),195,4.73,12.15,14.19
D110-467000000-0001,떡볶이,144,25.96,3.51,2.96
D110-467320000-0001,떡볶이_채소,258,57.06,3.12,1.88
D110-468000000-0001,라볶이,134,20.14,2.83,4.71
D110-469000000-0001,마늘쫑볶음,89,13.17,3.25,2.54
D110-469210000-0001,마늘쫑볶음_멸치,117,15.42,7.54,2.78
D110-470000000-0001,마파두부,109,5.36,7.29,6.48
D110-472000000-0001,멸치볶음,276,13.62,39.44,7.08
D110-472070000-0001,멸치볶음_견과류,414,18.36,30.4,24.32
D110-472130000-0001,멸치볶음_꽈리고추,253,7.96,23.62,14.08
D110-472190000-0001,멸치볶음_마늘쫑,277,12.42,32.4,10.84
D110-472360000-0001,멸치볶음_풋고추,190,13.3,20.62,6
D110-474090000-0001,문어볶음_고추장,88,8.62,10.97,1.02
D110-475000000-0001,미역줄기볶음,77,4.85,0.96,5.95
D110-476140000-0001,버섯볶음_느타리,94,6.78,2.8,6.2
D110-476260000-0001,버섯볶음_새송이버섯,121,9.29,2.95,8.03
D110-477000000-0001,브로콜리볶음,51,5.53,4.42,1.28
D110-478220000-0001,삼겹살볶음_묵은지김치,151,8.4,5.76,10.49
D110-480000000-0001,새우볶음,83,5.96,9.91,2.21
D110-481090000-0001,소고기볶음_고추장,197,10.7,14.36,10.79
D110-481250000-0001,소고기볶음_버섯,144,6.92,11.59,7.73
D110-481320000-0001,소고기볶음_채소,126,6.44,12.8,5.4
D110-482000000-0001,소시지볶음,280,14.41,11.94,19.38
D110-484000000-0001,애호박 볶음,59,5.3,1.32,3.62
D110-485000000-0001,양파볶음,56,9.51,0.99,1.54
D110-486000000-0001,어묵볶음,197,24.33,8.41,7.29
D110-486320000-0001,어묵볶음_채소,152,17.2,6.33,6.41
D110-488000000-0001,오징어볶음,128,7.43,9.85,6.52
D110-490000000-0001,유산슬,86,4.1,7.54,4.4
D110-491070000-0001,잔멸치볶음_견과류,388,22.64,24.34,22.22
D110-491130000-0001,잔멸치볶음_꽈리고추,293,9.24,24.78,17.48
D110-491360000-0001,잔멸치볶음_풋고추,256,16.94,28.24,8.32
D110-491385100-0001,잔멸치볶음_홍고추_풋고추,228,5.72,33.28,8
D110-492000000-0001,잡채,146,24.26,4.71,3.3
D110-492290000-0001,잡채_어묵,148,26.13,2.34,3.78
D110-492340000-0001,잡채_콩나물,67,12.55,1.93,0.97
D110-495270000-0001,죽순볶음_소고기,120,3.78,13.68,5.59
D110-499000000-0001,팔보채,90,3.42,12.42,2.9
D110-501000000-0001,풋고추볶음,70,8.25,1.93,3.23
D110-503320000-0001,햄볶음_채소,183,9.6,10.47,11.37
D111-508000000-0001,감자조림,114,18.1,2.4,3.52
D111-509000000-0001,고등어조림,141,4.1,11.25,8.84
D111-511000000-0001,꽁치조림,244,5.14,15.52,17.87
D111-514000000-0001,닭볶음탕,111,8.52,11.91,3.22
D111-515000000-0001,닭조림,197,6.57,18.03,10.9
D111-515010000-0001,닭조림_고추장,152,13.25,9.12,6.94
D111-517000000-0001,두부조림,143,4.4,9.64,9.66
D111-518000000-0001,땅콩조림,483,19.95,18.75,36.4
D111-519000000-0001,멸치조림,318,8.93,40.92,13.22
D111-520000000-0001,무조림,48,4.29,2.26,2.38
D111-521000000-0001,미트볼조림,221,12.95,18.15,10.73
D111-522000000-0001,버섯조림,60,6.23,4.38,2
D111-523000000-0001,병어조림,112,4.87,12.46,4.78
D111-525000000-0001,삼치조림,125,2.61,15.88,5.63
D111-526000000-0001,양미리조림,65,9.09,5.76,0.66
D111-527000000-0001,어묵조림,159,23.16,5.83,4.73
D111-528000000-0001,연근조림,174,29.42,2.68,5.1
D111-529000000-0001,오징어조림,137,12.45,16.55,2.37
D111-530000000-0001,오징어채조림,240,25.36,23.52,4.9
D111-531000000-0001,우엉조림,188,34.8,4.8,3.33
D111-532020000-0001,장조림_달걀,138,8.67,9.85,7.12
D111-532040000-0001,장조림_메추리알,203,6.3,14.25,13.41
D111-532080000-0001,장조림_소고기,69,4.84,10.41,0.86
D111-532081900-0001,장조림_소고기_메추리알,157,15.56,11.69,5.39
D111-534000000-0001,쥐포조림,276,36.12,13.03,8.86
D111-535000000-0001,코다리조림,86,4.16,16.46,0.4
D111-536000000-0001,콩조림(콩자반),281,34.83,17.97,7.73
D112-537000000-0001,감자튀김,312,35.15,4.55,17.01
D112-542000000-0001,김튀김,522,54.36,11,28.9
D112-546000000-0001,다시마튀각,462,47.32,8.44,26.52
D112-547010000-0001,닭다리튀김_간장,323,17.88,18.86,19.6
D112-549040000-0001,닭튀김_날개,257,10.49,17.17,16.27
D112-552000000-0001,떡강정,249,47.89,3.79,4.72
D112-556000000-0001,미역튀각,443,21.14,13.24,33.9
D112-566120000-0001,탕수육_새우,116,13.02,6.65,4.2
D113-567000000-0001,가지나물,36,4.18,1.42,1.5
D113-568000000-0001,고구마줄기나물,83,4.1,0.98,7
